Sex,MaritalStatus,Age,Education,Occupation,YearsInSf,DualIncome,HouseholdMembers,UnderEighteen,HouseholdStatus,TypeOfHome,EthnicClass,Language,Income
two,three,three,four,three,five,one,two,one,two,three,seven,one,four
two,five,three,five,one,four,one,one,zero,two,three,three,one,four
two,three,four,four,four,five,one,one,zero,two,three,seven,one,three
two,five,four,six,six,five,one,two,zero,two,one,seven,one,one
two,three,three,four,one,five,one,one,zero,three,one,seven,one,six
one,five,three,four,one,five,one,one,zero,one,two,seven,one,seven
one,five,three,four,two,four,one,one,zero,two,three,seven,one,six
two,five,two,five,one,five,one,one,zero,two,three,seven,one,seven
one,five,three,five,one,two,one,eight,two,three,one,two,one,seven
two,two,three,three,four,three,two,two,zero,two,three,two,one,four
two,five,three,four,unknown,four,one,two,zero,two,five,two,one,six
two,five,three,four,five,two,one,three,one,three,one,seven,one,two
two,five,two,four,one,three,one,one,one,two,three,one,one,seven
two,five,two,three,one,four,one,two,zero,three,one,seven,one,five
two,one,seven,three,eight,five,three,two,zero,one,one,seven,one,four
one,three,six,five,one,five,one,three,zero,two,five,eight,one,seven
one,four,six,three,eight,five,one,three,zero,one,one,seven,one,three
two,five,six,three,four,five,one,one,zero,two,three,seven,one,seven
one,five,two,four,three,five,one,three,zero,three,one,seven,one,three
one,one,six,four,one,unknown,two,two,zero,one,one,seven,one,six
two,two,three,five,four,three,one,two,zero,two,three,seven,one,four
two,four,five,three,four,five,one,two,one,one,one,seven,one,four
one,one,three,six,one,unknown,two,two,zero,two,three,seven,one,six
two,five,three,five,one,five,one,three,zero,two,one,eight,one,five
two,five,two,four,six,five,one,three,zero,three,one,seven,one,six
two,five,two,three,four,unknown,one,one,zero,two,three,seven,one,two
one,one,four,four,three,five,two,two,zero,one,one,seven,one,five
two,five,three,five,one,three,one,four,zero,one,one,two,one,five
two,one,four,four,three,four,two,two,zero,one,one,seven,one,eight
two,unknown,four,five,one,five,one,four,one,one,one,five,two,eight
two,two,four,five,one,five,one,two,zero,one,one,seven,one,nine
one,two,four,four,one,five,two,two,zero,one,one,seven,one,nine
two,one,four,four,one,unknown,two,four,one,one,one,two,one,eight
one,one,five,five,one,five,three,two,zero,one,one,seven,one,nine
two,one,five,four,five,five,three,two,zero,one,one,seven,one,nine
two,one,four,four,four,four,two,two,zero,one,one,two,one,eight
two,five,two,five,one,five,one,four,zero,three,one,eight,one,eight
two,one,four,three,four,three,two,three,zero,one,five,seven,one,nine
two,one,five,four,one,five,two,three,zero,one,one,seven,one,eight
two,four,five,four,one,five,one,one,zero,one,one,seven,one,eight
two,one,five,four,one,five,two,three,zero,one,one,seven,one,nine
two,five,two,two,six,five,one,four,one,three,one,seven,one,eight
one,one,five,five,one,five,two,three,one,one,one,two,one,nine
one,five,three,four,three,five,one,five,zero,three,one,seven,one,nine
one,one,four,five,one,five,two,three,zero,one,one,seven,one,nine
two,five,two,three,two,five,one,four,one,three,one,seven,one,eight
two,two,three,six,one,one,one,two,zero,two,three,five,one,eight
one,one,four,four,one,five,two,three,zero,one,five,seven,one,nine
one,one,five,six,one,five,two,four,two,one,one,seven,one,nine
one,one,three,six,one,four,three,three,one,one,one,seven,unknown,nine
one,five,three,five,one,three,one,seven,two,two,one,two,three,eight
one,one,five,five,eight,five,three,three,zero,one,one,seven,one,nine
two,one,five,four,one,three,two,two,zero,one,two,seven,one,eight
one,one,five,five,two,three,two,two,zero,one,two,seven,one,eight
one,one,five,four,one,five,three,four,zero,one,one,two,three,seven
two,five,three,four,four,five,one,one,zero,two,three,eight,one,three
two,five,three,six,one,three,one,three,zero,two,one,two,one,six
two,five,two,four,six,five,one,three,zero,three,one,seven,one,seven
two,five,two,four,nine,five,one,four,one,three,one,two,one,one
two,one,three,four,one,five,two,two,zero,one,four,seven,one,seven
two,one,three,three,five,five,three,four,two,two,two,seven,one,seven
one,five,two,two,three,five,one,two,zero,two,three,five,one,seven
two,two,two,four,four,five,one,two,zero,two,three,seven,one,seven
one,one,three,five,two,two,two,two,zero,one,two,seven,one,nine
one,one,five,six,one,unknown,two,two,zero,one,unknown,seven,one,nine
one,five,two,four,six,five,one,three,zero,three,two,five,two,three
two,three,five,one,three,five,one,three,zero,one,two,five,two,four
one,one,three,four,two,five,two,four,two,two,three,seven,one,six
one,five,two,four,one,two,one,one,zero,two,one,seven,one,five
one,five,three,six,one,two,one,one,zero,two,three,seven,one,six
two,five,two,five,nine,five,one,five,two,three,one,seven,one,nine
two,one,three,four,one,unknown,two,two,zero,one,one,seven,one,nine
one,five,two,five,one,five,one,unknown,zero,two,three,seven,one,four
two,five,three,five,one,unknown,one,one,zero,two,three,seven,one,eight
two,one,three,three,four,five,two,two,zero,two,three,seven,one,seven
one,one,seven,four,eight,four,three,two,zero,one,one,seven,one,five
two,one,six,four,eight,five,three,three,zero,one,unknown,seven,one,five
one,one,three,five,four,three,two,two,zero,two,three,three,one,seven
one,two,five,four,five,unknown,three,four,zero,one,one,one,one,four
one,one,four,four,one,three,two,two,zero,one,two,seven,one,seven
two,five,three,four,two,five,one,one,zero,two,three,seven,one,six
one,two,three,five,one,three,two,two,zero,two,three,seven,one,eight
one,five,two,four,six,two,one,five,zero,two,five,seven,one,nine
one,five,two,four,six,two,one,four,zero,three,one,six,one,nine
one,five,two,unknown,six,five,one,one,zero,two,three,five,unknown,nine
two,five,two,four,two,five,one,two,two,one,one,seven,one,one
two,five,two,five,one,unknown,one,one,zero,two,one,seven,one,six
two,five,four,five,one,five,one,two,zero,one,one,seven,one,five
one,one,three,six,one,unknown,three,three,one,one,one,seven,one,eight
two,one,four,four,five,unknown,three,three,one,one,one,seven,one,eight
two,five,four,four,four,five,one,two,one,two,unknown,seven,one,six
one,one,seven,five,eight,five,three,two,zero,one,one,seven,one,nine
two,one,three,six,five,four,three,four,two,one,one,seven,one,eight
one,one,three,five,one,one,two,two,zero,two,three,seven,unknown,seven
one,one,three,four,one,five,two,unknown,zero,two,three,two,three,six
two,one,five,five,one,five,two,six,three,one,one,seven,one,seven
two,one,six,five,five,five,three,two,zero,one,one,seven,one,nine
two,three,four,four,two,five,one,two,one,one,one,seven,one,eight
two,one,three,four,six,one,two,two,zero,two,three,seven,one,six
two,three,four,four,one,five,one,three,two,one,two,seven,one,six
two,one,four,six,one,five,two,three,one,one,one,seven,one,nine
two,five,two,three,nine,two,one,five,two,three,one,seven,one,nine
two,five,two,five,one,unknown,one,one,zero,two,three,seven,one,one
two,five,two,four,six,two,one,four,zero,two,three,eight,one,one
two,three,five,four,four,five,one,one,zero,one,two,seven,one,five
two,one,three,five,five,three,three,three,one,one,five,seven,one,nine
two,five,four,six,one,four,one,one,zero,one,five,seven,one,eight
two,three,four,four,one,five,one,two,zero,one,two,eight,unknown,seven
two,one,six,four,four,five,three,two,zero,one,one,seven,one,four
two,one,five,four,one,five,two,two,zero,one,one,seven,one,five
two,one,four,six,one,five,two,two,zero,one,one,seven,one,eight
two,one,six,three,five,five,three,two,zero,one,one,seven,one,five
two,five,three,five,one,two,one,two,zero,two,five,seven,one,four
two,five,three,five,six,four,one,one,zero,two,three,seven,one,three
two,five,two,three,six,five,one,six,three,three,one,seven,one,seven
one,five,three,five,one,five,one,two,zero,one,one,seven,one,eight
one,one,five,five,one,unknown,three,four,two,one,one,seven,one,eight
one,one,five,four,one,four,two,three,zero,one,one,seven,one,eight
one,three,four,five,one,five,one,one,zero,one,two,seven,one,eight
one,three,four,six,one,four,one,four,one,two,one,seven,one,seven
one,three,three,four,two,five,one,one,zero,two,three,five,one,seven
one,one,five,six,one,five,two,three,one,one,one,seven,one,eight
one,one,four,five,one,five,two,three,one,one,one,seven,one,nine
one,one,five,six,two,five,two,two,zero,one,one,seven,one,eight
one,five,six,four,one,five,one,one,zero,one,one,eight,one,six
one,one,three,four,seven,two,two,two,zero,two,three,seven,one,five
one,five,two,four,six,two,one,five,zero,two,three,seven,one,one
one,one,five,five,eight,five,one,two,zero,one,one,five,one,six
one,one,five,five,one,five,two,two,zero,one,one,six,one,nine
one,one,four,five,one,five,two,two,zero,one,one,seven,one,nine
one,three,seven,three,eight,five,one,one,zero,two,five,seven,one,two
one,one,three,four,one,three,two,two,zero,two,one,two,three,eight
one,one,seven,four,eight,five,three,two,zero,one,one,seven,one,five
two,five,one,one,six,five,one,three,one,three,three,seven,one,one
two,one,five,five,one,five,two,four,two,one,one,seven,one,nine
two,one,five,five,four,four,two,two,zero,one,one,six,unknown,seven
one,one,three,five,one,five,three,two,zero,one,one,eight,one,eight
two,one,three,five,two,five,two,two,zero,one,one,seven,one,eight
two,one,four,five,one,four,two,four,two,one,unknown,two,one,nine
one,two,three,two,three,five,two,two,zero,two,three,seven,one,four
two,one,five,four,one,five,two,six,two,one,one,seven,one,nine
two,five,two,three,six,three,one,five,three,three,one,seven,one,one
one,five,two,three,three,five,one,two,zero,two,one,seven,one,three
two,five,two,three,six,five,one,five,five,three,one,six,one,eight
two,one,four,five,five,five,three,four,two,one,one,seven,one,nine
two,five,five,five,eight,five,one,one,zero,one,one,seven,one,eight
one,five,two,four,three,five,one,one,zero,two,three,seven,one,three
two,five,two,four,six,two,one,unknown,zero,two,unknown,seven,one,one
one,four,seven,three,eight,five,one,one,zero,one,one,seven,one,five
two,five,two,four,six,four,one,four,one,three,one,seven,one,one
two,four,seven,three,eight,five,one,one,zero,one,five,seven,one,two
two,five,two,four,six,two,one,three,zero,three,one,eight,one,one
two,one,seven,three,five,five,three,two,zero,one,one,seven,one,eight
two,one,three,four,five,five,three,four,two,one,one,seven,one,seven
two,one,six,three,five,five,three,two,zero,one,one,seven,one,eight
one,five,two,four,six,four,one,four,zero,two,three,seven,one,one
two,three,five,four,one,five,one,two,zero,one,one,seven,one,seven
one,one,seven,five,one,five,three,two,zero,one,one,seven,one,seven
two,one,three,four,five,three,three,two,zero,one,five,seven,one,eight
two,five,two,four,one,five,one,two,zero,three,one,seven,one,eight
one,five,two,four,three,five,one,one,zero,two,three,five,one,four
two,five,two,four,six,four,one,four,zero,three,one,one,one,two
one,four,seven,three,one,five,one,one,zero,one,one,seven,one,five
one,one,three,four,one,five,two,four,two,one,one,seven,one,six
two,five,two,four,two,five,one,four,zero,three,one,five,two,two
one,one,four,five,one,four,two,two,zero,two,three,seven,one,four
one,one,six,four,eight,five,three,two,zero,one,one,seven,one,seven
two,four,seven,three,eight,five,one,one,zero,one,one,seven,one,one
one,one,six,four,one,five,three,two,zero,one,one,seven,one,eight
two,five,two,four,two,five,one,one,zero,two,one,seven,one,one
two,four,seven,four,eight,five,one,one,zero,one,one,seven,one,three
two,one,three,three,one,five,two,two,zero,one,two,six,one,eight
one,one,four,five,three,two,three,four,two,two,three,seven,one,five
one,two,two,four,six,five,one,two,zero,two,three,seven,one,three
two,two,two,four,six,five,one,two,zero,two,three,seven,one,three
one,five,two,three,six,five,one,four,one,three,one,seven,one,one
two,five,two,four,six,five,one,three,zero,one,one,seven,one,one
one,one,four,five,one,five,two,four,one,one,one,seven,one,nine
two,one,seven,three,eight,five,three,two,zero,one,one,seven,one,six
two,five,two,six,one,five,one,three,zero,three,one,five,unknown,eight
one,one,four,four,two,five,two,four,two,two,one,seven,one,nine
one,five,three,four,one,two,one,three,zero,two,one,two,one,four
one,two,three,five,one,five,one,two,zero,two,three,seven,one,five
one,five,two,four,one,five,one,five,one,three,one,seven,one,eight
two,one,seven,four,eight,five,three,two,zero,one,one,seven,one,five
two,five,three,four,four,five,one,five,two,three,one,two,one,three
one,one,five,six,eight,three,three,nine,two,one,one,seven,one,nine
one,five,two,four,six,five,one,four,one,three,one,two,one,five
one,one,four,three,five,two,two,three,one,one,one,two,one,six
two,four,seven,four,eight,five,one,one,zero,one,one,seven,one,two
one,five,four,four,one,five,one,one,zero,two,unknown,five,one,six
two,five,two,five,four,three,one,five,one,two,one,six,one,two
two,five,two,three,two,five,one,three,zero,three,one,seven,one,seven
two,five,two,four,six,two,one,two,zero,one,three,seven,three,nine
one,three,four,four,one,five,one,one,zero,one,one,eight,one,seven
one,five,two,four,three,four,one,one,zero,one,two,five,one,six
one,one,four,six,one,five,two,four,two,one,one,three,one,nine
one,five,four,four,one,five,one,three,zero,two,one,seven,one,eight
one,five,five,four,four,five,one,one,zero,two,three,seven,one,four
one,three,three,four,nine,five,one,three,zero,three,one,seven,one,one
two,three,four,five,one,five,one,three,two,one,one,seven,one,seven
two,four,seven,three,four,five,one,one,zero,one,two,seven,one,seven
one,one,four,four,one,five,two,two,one,one,one,two,three,nine
one,one,three,four,one,five,three,three,one,one,one,seven,one,six
one,one,seven,three,unknown,unknown,three,two,zero,one,one,seven,one,six
two,one,six,four,eight,five,three,two,zero,one,one,seven,one,six
two,one,four,four,four,five,two,four,two,one,one,seven,one,nine
one,one,four,four,two,five,two,six,two,one,one,five,one,seven
one,one,four,five,unknown,unknown,two,three,zero,one,one,seven,one,nine
one,three,four,six,one,five,one,unknown,zero,two,three,seven,one,eight
two,four,seven,five,eight,five,one,one,zero,one,two,seven,one,seven
two,one,six,four,eight,five,three,two,zero,one,unknown,seven,one,six
two,one,seven,four,five,five,three,two,zero,one,unknown,seven,one,eight
two,one,five,four,two,five,three,two,zero,one,one,seven,one,nine
two,one,four,four,one,five,two,four,two,two,one,seven,one,seven
two,three,four,three,four,two,one,one,zero,two,three,three,one,four
two,one,four,four,one,four,two,three,one,two,one,seven,one,nine
two,one,six,five,one,five,three,two,zero,one,one,seven,one,six
two,five,two,four,six,five,one,five,one,three,one,seven,three,one
one,five,one,two,six,five,one,five,one,three,one,seven,one,one
two,five,four,three,one,three,one,one,zero,two,three,seven,one,six
one,one,five,six,one,five,two,three,one,one,one,seven,one,nine
two,one,six,four,two,five,two,three,zero,one,one,seven,one,nine
one,five,three,five,one,five,one,one,zero,two,three,seven,one,seven
two,one,six,three,four,five,three,two,zero,one,one,seven,one,six
two,five,two,three,one,five,one,three,zero,three,one,two,one,four
one,one,three,four,three,five,two,two,zero,three,one,five,one,eight
one,one,five,five,one,five,two,three,zero,one,one,seven,one,nine
two,five,two,four,six,two,one,unknown,zero,unknown,unknown,three,one,one
two,two,four,four,one,five,one,two,zero,one,one,seven,one,eight
two,one,seven,four,one,five,three,two,zero,one,one,seven,one,eight
one,five,two,four,six,five,one,eight,four,three,one,seven,one,nine
one,one,five,four,one,five,three,two,zero,one,one,seven,one,nine
one,five,two,four,six,five,one,five,two,three,one,seven,one,nine
one,five,three,four,one,five,one,one,zero,two,one,seven,one,three
one,five,three,four,one,five,one,one,zero,two,three,seven,three,five
one,two,three,four,one,five,one,two,zero,two,three,five,one,five
two,one,three,three,one,unknown,two,two,zero,two,five,seven,one,one
two,one,six,four,one,five,three,two,zero,one,one,seven,one,nine
two,five,three,five,one,five,one,one,zero,two,three,seven,one,six
two,three,six,four,one,five,one,two,zero,one,one,seven,one,five
two,two,two,four,two,two,two,two,zero,two,two,seven,one,four
one,one,three,four,three,five,two,three,one,two,one,five,one,seven
two,one,six,four,four,five,three,three,zero,one,one,seven,one,seven
one,one,seven,six,eight,five,three,three,zero,one,one,seven,one,seven
one,one,seven,three,eight,five,three,two,zero,one,one,seven,one,seven
two,one,six,three,three,five,three,four,zero,one,one,five,one,six
one,one,seven,four,eight,five,three,two,zero,one,one,seven,one,five
one,one,seven,five,eight,five,three,two,zero,three,one,seven,one,four
one,one,seven,four,eight,five,three,two,zero,one,unknown,seven,one,six
one,five,six,five,eight,five,one,five,zero,unknown,five,seven,one,four
two,three,five,four,one,five,one,two,zero,one,one,seven,one,eight
one,one,four,six,one,unknown,three,five,three,one,one,seven,one,nine
two,unknown,six,unknown,eight,five,three,unknown,zero,three,unknown,seven,one,four
one,four,seven,four,eight,five,one,one,zero,one,one,seven,one,two
one,one,seven,four,one,five,two,two,zero,two,three,seven,one,nine
two,one,six,five,eight,five,three,two,zero,one,one,seven,one,eight
two,one,six,six,one,five,two,two,zero,one,one,seven,one,nine
one,one,seven,six,eight,five,three,two,zero,one,one,seven,one,eight
two,one,six,five,five,five,three,two,zero,one,five,seven,one,eight
two,one,six,six,one,five,three,two,zero,one,one,seven,one,nine
one,five,one,two,eight,two,one,one,one,unknown,unknown,seven,one,one
one,five,one,two,six,three,one,five,three,three,one,two,three,one
two,five,one,two,nine,five,one,two,one,three,two,seven,one,one
one,five,one,one,six,three,one,five,three,three,one,two,three,one
one,five,two,four,six,one,one,three,zero,three,one,seven,one,three
two,one,three,four,one,five,two,two,zero,one,one,one,one,four
two,five,two,four,six,five,one,three,two,three,one,seven,one,one
one,five,five,six,one,five,one,one,zero,two,one,seven,one,four
two,one,three,five,two,one,three,two,zero,two,three,seven,one,seven
one,five,three,six,two,four,one,one,zero,one,one,two,three,six
one,five,two,three,six,five,one,three,zero,three,one,seven,one,three
two,five,three,four,one,five,one,four,two,one,one,seven,one,six
one,five,two,three,two,five,one,four,zero,two,one,seven,one,two
one,five,three,five,one,five,one,one,zero,one,unknown,seven,one,five
one,five,two,four,six,five,one,three,zero,two,one,seven,one,one
two,five,two,four,six,two,one,two,two,two,five,seven,one,one
two,five,two,four,two,one,one,four,one,three,one,seven,one,one
two,two,three,four,one,five,one,two,zero,two,three,eight,one,six
two,five,two,four,two,four,one,two,zero,two,one,seven,one,two
one,three,five,five,seven,five,one,one,zero,one,one,two,one,seven
one,five,three,six,six,two,one,four,zero,three,one,two,one,one
two,one,two,three,one,two,three,six,two,two,one,two,three,four
two,five,two,four,six,five,one,two,zero,two,three,three,one,one
one,five,three,five,one,five,one,one,zero,two,three,three,one,three
two,four,five,six,one,five,one,one,zero,one,two,three,one,six
one,five,four,four,nine,five,one,five,zero,three,one,seven,three,three
one,five,two,two,two,five,one,three,zero,two,one,seven,one,one
one,one,three,six,one,four,two,two,zero,one,one,seven,one,nine
two,one,three,five,one,five,two,two,zero,one,one,seven,one,eight
one,one,three,five,two,five,two,two,zero,one,one,seven,one,eight
one,five,two,two,two,five,one,four,zero,three,one,seven,one,eight
two,one,three,five,one,two,three,two,zero,one,one,seven,one,nine
two,five,two,three,six,one,one,four,zero,three,one,seven,one,eight
two,three,four,five,nine,two,one,three,one,two,two,seven,one,one
one,five,five,three,three,unknown,one,one,zero,two,four,seven,one,four
two,one,three,five,one,one,two,two,zero,two,three,seven,one,five
two,two,five,six,one,five,one,one,zero,one,one,seven,one,eight
two,one,four,five,one,unknown,two,three,one,one,one,seven,one,eight
one,five,two,two,six,five,one,four,one,three,one,seven,one,eight
two,one,three,four,five,five,three,three,one,one,one,seven,one,eight
two,five,two,four,two,five,one,three,zero,three,one,seven,one,eight
two,five,two,four,six,unknown,one,three,one,three,one,seven,one,nine
one,five,two,four,six,three,one,unknown,zero,three,one,seven,one,eight
one,five,three,five,one,three,one,two,zero,two,one,seven,one,eight
one,one,five,four,one,five,two,two,zero,one,one,seven,one,nine
two,one,four,six,one,three,two,three,one,one,two,seven,one,nine
two,two,three,four,one,five,one,two,zero,two,three,seven,one,eight
two,three,four,six,one,five,one,one,zero,one,one,seven,one,nine
two,one,five,six,one,five,two,two,zero,one,five,seven,one,nine
two,one,four,four,five,two,three,four,two,two,one,seven,one,nine
one,five,two,five,nine,five,one,three,zero,three,unknown,two,one,nine
two,one,five,six,one,five,two,three,zero,one,one,seven,one,eight
one,one,four,six,one,five,three,two,zero,one,two,three,one,nine
two,one,four,three,one,four,two,four,two,one,one,eight,one,eight
one,one,four,four,two,five,two,four,two,one,one,seven,one,eight
one,five,six,five,one,five,one,two,zero,one,one,two,one,seven
two,three,three,three,four,five,one,four,two,two,three,seven,one,five
two,five,three,three,nine,five,one,two,zero,two,one,seven,one,one
two,five,two,three,six,five,one,four,two,two,three,seven,one,five
two,one,five,five,one,five,two,two,zero,two,two,seven,one,seven
one,one,three,five,one,four,two,two,zero,one,one,seven,one,eight
one,three,three,four,four,five,one,one,zero,two,one,seven,unknown,five
two,five,one,two,six,three,one,three,one,three,one,seven,one,one
two,five,two,four,six,two,one,three,zero,three,one,seven,one,one
one,one,four,four,one,five,two,two,zero,one,one,seven,one,nine
one,one,four,six,one,four,three,four,two,one,one,two,one,nine
two,five,two,three,four,unknown,one,three,zero,three,one,seven,one,eight
two,five,two,three,four,five,one,seven,two,one,one,five,one,one
one,three,four,three,one,three,one,five,two,one,two,seven,one,nine
one,one,seven,four,eight,five,three,two,zero,one,one,seven,one,eight
one,five,two,four,six,five,one,five,two,three,one,five,one,eight
one,five,three,six,one,two,one,one,zero,two,three,seven,one,eight
two,five,two,three,two,four,one,four,one,three,two,seven,one,five
two,five,one,five,nine,five,one,six,two,one,one,five,two,seven
two,five,two,three,six,five,one,one,zero,two,three,seven,one,one
two,five,two,two,six,five,one,four,zero,three,one,seven,one,one
two,five,two,five,one,five,one,four,zero,three,one,seven,one,five
two,five,three,five,one,one,one,unknown,zero,two,three,seven,one,four
two,three,seven,four,eight,five,one,one,zero,two,three,seven,one,six
one,one,four,six,one,five,two,two,zero,one,five,seven,one,nine
two,one,four,four,one,five,two,two,zero,one,five,seven,one,nine
one,one,seven,four,eight,five,three,two,zero,one,one,seven,one,seven
two,five,two,four,two,five,one,four,zero,three,one,seven,one,nine
two,one,four,four,two,five,two,three,one,one,one,three,unknown,five
two,five,two,three,two,five,one,three,one,three,two,seven,one,seven
two,five,two,five,four,two,one,two,zero,two,three,seven,one,two
one,five,three,five,one,three,one,two,zero,one,one,seven,one,six
two,five,two,four,six,four,one,one,zero,two,three,seven,one,one
two,one,three,four,five,five,two,three,one,one,one,five,one,seven
two,one,four,four,one,four,two,two,zero,one,two,seven,one,nine
two,five,three,six,one,five,one,one,zero,two,five,seven,one,five
one,five,two,four,two,five,one,five,two,three,one,eight,one,nine
two,five,three,four,one,two,one,one,zero,two,three,seven,one,six
one,two,three,six,one,five,one,two,zero,two,three,seven,one,six
one,one,four,five,one,four,three,five,one,one,one,seven,one,eight
two,two,two,four,six,two,one,two,zero,one,one,seven,one,one
one,five,seven,six,eight,four,one,one,zero,one,one,seven,one,two
two,two,three,six,one,three,one,two,zero,two,three,seven,one,eight
two,one,three,five,one,four,two,two,zero,one,one,seven,one,eight
one,one,four,six,one,five,two,two,zero,one,one,seven,one,eight
two,one,four,six,one,five,two,two,zero,one,one,seven,one,eight
one,five,three,five,six,five,one,one,zero,two,three,two,one,two
two,one,three,four,six,five,three,three,one,one,one,seven,one,nine
one,one,six,six,one,five,two,two,zero,one,one,seven,one,nine
two,three,three,four,four,five,one,two,one,two,three,seven,one,six
two,three,four,six,one,five,one,one,zero,one,two,seven,one,seven
two,one,five,four,two,five,two,two,zero,one,one,seven,one,eight
two,one,five,four,five,three,three,three,one,one,one,seven,one,nine
one,five,one,two,two,five,one,six,two,three,one,seven,one,one
one,five,one,two,six,five,one,four,one,three,one,seven,one,one
two,five,two,five,one,three,one,four,zero,three,one,seven,one,nine
one,three,four,six,one,five,one,three,two,one,one,seven,one,seven
two,one,three,six,six,three,two,two,zero,one,one,seven,one,eight
one,one,four,six,one,four,two,two,zero,one,two,six,one,nine
one,five,three,five,one,five,one,three,zero,two,one,seven,two,nine
one,five,two,five,one,five,one,three,zero,two,two,seven,one,six
one,three,four,six,one,two,one,one,zero,two,five,seven,one,seven
one,five,two,three,six,one,one,one,zero,two,three,seven,one,one
one,five,two,two,nine,five,one,four,zero,one,one,seven,one,two
two,one,two,four,one,unknown,two,two,two,two,three,two,one,seven
two,three,five,three,five,five,one,one,zero,one,unknown,seven,one,four
one,five,two,four,six,three,one,four,zero,one,one,six,one,two
two,five,three,four,four,three,one,four,zero,one,one,two,three,four
one,three,five,four,one,three,one,unknown,zero,two,three,seven,one,eight
two,one,four,three,one,unknown,two,two,zero,two,three,two,one,seven
one,one,four,five,seven,unknown,two,five,three,two,five,eight,one,six
two,four,seven,unknown,eight,five,one,one,zero,unknown,three,seven,one,two
two,four,six,four,eight,five,one,one,zero,one,four,seven,one,two
two,five,three,five,two,five,one,three,zero,two,one,seven,one,four
two,five,two,four,four,five,one,unknown,zero,two,two,seven,one,one
one,five,three,six,one,five,one,one,zero,one,two,seven,one,four
two,one,six,three,eight,five,three,three,zero,one,one,one,one,seven
one,one,three,six,one,four,two,two,zero,one,one,seven,one,eight
one,one,seven,three,eight,five,three,three,zero,one,one,seven,one,seven
one,five,two,four,one,five,one,five,one,one,one,three,one,nine
one,one,five,six,one,four,two,four,one,one,one,seven,one,eight
two,five,two,two,six,five,one,four,one,three,one,two,one,eight
two,three,six,four,eight,unknown,one,one,zero,unknown,three,unknown,one,four
two,three,five,four,four,five,one,one,zero,two,three,seven,unknown,three
one,five,three,five,one,five,one,one,zero,two,three,five,one,five
one,five,one,two,six,three,one,five,three,three,one,four,one,one
one,five,one,two,six,four,one,two,one,three,five,five,one,one
two,five,one,two,two,five,one,two,one,three,two,six,one,two
one,one,four,six,one,two,two,two,zero,two,one,seven,one,nine
two,two,four,six,one,five,one,three,one,one,two,seven,one,nine
two,one,six,three,eight,five,three,two,zero,one,one,seven,one,seven
one,five,three,five,two,five,one,unknown,zero,two,one,seven,one,six
one,five,two,four,three,two,one,two,zero,two,three,seven,one,three
one,one,three,four,four,five,two,four,two,two,one,five,one,five
one,one,four,five,one,unknown,two,four,zero,two,one,one,one,eight
one,three,six,five,one,five,one,one,zero,one,one,seven,one,eight
two,five,two,four,six,five,one,six,three,three,one,seven,one,one
two,five,two,four,six,five,one,three,one,three,one,seven,one,one
one,one,four,six,one,four,two,two,zero,one,one,seven,one,nine
one,three,seven,six,one,five,one,one,zero,one,one,seven,one,eight
two,five,two,four,six,five,one,three,zero,three,one,seven,one,nine
one,five,two,four,six,five,one,four,zero,three,one,two,one,seven
one,one,four,six,one,five,two,four,two,one,one,seven,one,nine
one,five,three,three,one,one,one,one,zero,two,three,seven,one,five
one,five,three,six,six,five,one,one,zero,two,three,two,one,one
two,five,one,two,six,five,one,four,two,three,one,seven,one,one
one,one,one,one,one,unknown,three,two,one,two,two,five,one,one
two,one,two,two,six,one,three,two,one,two,two,seven,one,one
one,one,three,three,three,four,two,six,two,one,one,two,one,six
two,five,two,four,six,five,one,four,one,one,one,seven,one,one
one,five,two,five,one,four,one,unknown,zero,three,one,seven,three,three
two,one,four,six,four,five,two,four,one,one,one,seven,one,nine
two,five,three,three,one,four,one,two,one,two,three,three,one,four
one,two,five,five,one,five,one,two,zero,one,one,seven,one,eight
two,three,five,four,four,five,one,two,zero,two,three,seven,one,three
one,two,two,five,one,two,one,three,zero,two,three,seven,one,seven
two,one,five,four,four,five,two,three,zero,one,one,seven,one,six
one,five,three,four,one,two,one,one,zero,two,three,seven,one,three
one,five,one,two,six,five,one,four,one,three,five,eight,one,one
two,five,one,two,six,five,one,six,four,three,one,seven,one,one
one,five,three,five,one,five,one,one,zero,two,three,seven,one,nine
one,five,one,two,nine,four,one,four,zero,three,five,eight,one,eight
one,five,three,six,four,four,one,one,zero,one,three,seven,one,three
one,two,four,three,three,two,two,one,zero,two,unknown,five,unknown,four
one,five,three,five,one,two,one,one,zero,two,three,seven,one,seven
two,one,four,four,four,five,two,four,zero,one,one,three,one,seven
two,one,three,three,unknown,unknown,two,five,three,two,three,three,one,six
one,five,three,five,one,two,one,one,zero,two,three,seven,one,six
one,three,four,four,one,five,one,one,zero,two,three,seven,one,five
one,five,three,six,four,three,one,two,zero,two,five,seven,one,five
one,one,three,four,four,three,two,two,zero,two,three,three,one,seven
one,five,four,six,one,four,one,one,zero,one,two,seven,one,eight
one,five,one,two,six,five,one,four,two,three,one,seven,one,one
two,one,three,five,one,two,two,two,zero,two,three,seven,one,nine
two,three,four,four,one,four,one,three,two,one,one,three,one,five
two,five,one,two,six,four,one,three,two,three,one,three,one,one
one,five,two,four,one,five,one,one,zero,one,unknown,four,one,three
two,five,two,four,one,five,one,three,zero,three,one,seven,one,seven
two,one,three,four,one,four,two,two,zero,two,three,seven,one,eight
